gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022401168,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,554.5,110.9,575.8,115.2,-21.3,-4.3,0.558,2.18,16.8,0.321,0.788,0.546,10.891,10.9,0.526,0.54,1.0,0.966,20.0,100.0,83.33,101.0,0.482
0022401165,1610612758,Sacramento,Kings,SAC,kings,240:00,617.0,123.4,659.6,131.9,-42.6,-8.5,0.581,3.13,18.8,0.28,0.667,0.469,8.511,8.5,0.554,0.583,1.0,0.991,18.8,94.0,78.33,94.0,0.429
0022401165,1610612743,Denver,Nuggets,DEN,nuggets,240:00,659.6,131.9,617.0,123.4,42.6,8.5,0.698,4.29,21.7,0.333,0.72,0.531,7.447,7.4,0.576,0.622,1.0,0.991,18.8,94.0,78.33,94.0,0.571
0022401157,1610612764,Washington,Wizards,WAS,wizards,240:00,495.2,99.0,586.5,117.3,-91.3,-18.3,0.647,1.29,15.6,0.268,0.603,0.439,16.346,16.3,0.448,0.514,1.0,0.975,20.8,104.0,86.67,104.0,0.423
0022401157,1610612755,Philadelphia,76ers,PHI,sixers,240:00,586.5,117.3,495.2,99.0,91.3,18.3,0.513,1.18,13.6,0.397,0.732,0.561,16.346,16.3,0.516,0.566,1.0,0.976,20.8,104.0,86.67,104.0,0.577
0022401162,1610612762,Utah,Jazz,UTA,jazz,265:00,568.4,113.7,538.5,107.7,29.9,6.0,0.54,1.13,16.8,0.354,0.705,0.55,20.513,20.5,0.587,0.618,1.0,0.985,21.19,105.96,88.3,117.0,0.551
0022401162,1610612757,Portland,Trail Blazers,POR,blazers,265:00,538.5,107.7,568.4,113.7,-29.9,-6.0,0.563,1.59,16.9,0.295,0.646,0.45,14.53,14.5,0.514,0.542,1.0,0.992,21.19,105.96,88.3,117.0,0.449
0022401156,1610612753,Orlando,Magic,ORL,magic,240:00,527.5,105.5,427.0,85.4,100.5,20.1,0.622,2.3,18.0,0.315,0.765,0.533,10.989,11.0,0.495,0.508,1.0,0.99,18.0,90.0,75.0,91.0,0.594
0022401156,1610612738,Boston,Celtics,BOS,celtics,240:00,427.0,85.4,527.5,105.5,-100.5,-20.1,0.625,1.25,16.5,0.235,0.685,0.467,17.978,18.0,0.433,0.449,1.0,0.99,18.0,90.0,75.0,89.0,0.406
0022401160,1610612741,Chicago,Bulls,CHI,bulls,240:00,583.3,116.7,538.8,107.8,44.5,8.9,0.717,2.06,22.8,0.233,0.755,0.511,15.686,15.7,0.596,0.628,1.0,0.991,20.5,102.5,85.42,102.0,0.549
0022401160,1610612748,Miami,Heat,MIA,heat,240:00,538.8,107.8,583.3,116.7,-44.5,-8.9,0.636,2.15,19.6,0.245,0.767,0.489,12.621,12.6,0.543,0.558,1.0,0.983,20.5,102.5,85.42,103.0,0.451
0022401164,1610612756,Phoenix,Suns,PHX,suns,240:00,549.0,109.8,618.8,123.8,-69.8,-14.0,0.738,2.07,21.7,0.229,0.75,0.478,14.706,14.7,0.569,0.587,1.0,0.964,20.3,101.5,84.58,102.0,0.455
0022401164,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,618.8,123.8,549.0,109.8,69.8,14.0,0.533,2.0,17.8,0.25,0.771,0.522,11.881,11.9,0.593,0.639,1.0,0.982,20.3,101.5,84.58,101.0,0.545
0022401158,1610612761,Toronto,Raptors,TOR,raptors,240:00,623.8,124.8,470.6,94.1,153.2,30.6,0.755,4.11,23.6,0.333,0.816,0.557,8.911,8.9,0.563,0.577,1.0,0.983,20.3,101.5,84.58,101.0,0.621
0022401158,1610612766,Charlotte,Hornets,CHA,hornets,240:00,470.6,94.1,623.8,124.8,-153.2,-30.6,0.639,1.21,17.2,0.184,0.667,0.443,18.627,18.6,0.506,0.539,1.0,0.973,20.3,101.5,84.58,102.0,0.379
0022401163,1610612744,Golden State,Warriors,GSW,warriors,240:00,584.2,116.8,612.9,122.6,-28.7,-5.7,0.806,2.42,20.1,0.37,0.721,0.526,12.632,12.6,0.512,0.564,1.0,0.948,18.8,94.0,78.33,95.0,0.499
0022401163,1610612759,San Antonio,Spurs,SAS,spurs,240:00,612.9,122.6,584.2,116.8,28.7,5.7,0.59,1.53,18.0,0.279,0.63,0.474,16.129,16.1,0.593,0.632,1.0,0.981,18.8,94.0,78.33,93.0,0.501
0022401166,1610612746,LA,Clippers,LAC,clippers,240:00,676.8,135.4,590.9,118.2,85.9,17.2,0.688,2.75,22.8,0.31,0.773,0.547,12.121,12.1,0.639,0.681,1.0,0.973,19.8,99.0,82.5,99.0,0.582
0022401166,1610612745,Houston,Rockets,HOU,rockets,240:00,590.9,118.2,676.8,135.4,-85.9,-17.2,0.533,1.71,18.0,0.227,0.69,0.453,14.141,14.1,0.625,0.633,1.0,0.972,19.8,99.0,82.5,99.0,0.418
0022401159,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,516.0,103.2,589.5,117.9,-73.5,-14.7,0.833,1.5,22.4,0.263,0.627,0.472,21.277,21.3,0.563,0.591,1.0,0.981,18.9,94.5,78.75,94.0,0.484
0022401159,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,589.5,117.9,516.0,103.2,73.5,14.7,0.524,1.83,16.2,0.373,0.737,0.528,12.632,12.6,0.533,0.564,1.0,0.947,18.9,94.5,78.75,95.0,0.516
0022401155,1610612746,LA,Clippers,LAC,clippers,240:00,610.0,122.0,585.0,117.0,25.0,5.0,0.625,1.76,20.1,0.404,0.783,0.591,17.0,17.0,0.591,0.61,1.0,0.966,20.0,100.0,83.33,100.0,0.531
