gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won
0022101139,1610612748,Miami,Heat,MIA,heat,240:00,519.6,103.9,480.4,96.1,39.2,7.8,0.711,1.5,19.7,0.17,0.792,0.5,17.647,17.6,0.563,0.589,1.0,0.955,20.4,102.0,85.0,102.0,0.548,W,1
0022101138,1610612764,Washington,Wizards,WAS,wizards,240:00,616.5,123.3,534.0,106.8,82.5,16.5,0.745,2.92,22.9,0.319,0.724,0.543,11.65,11.7,0.582,0.614,1.0,0.975,20.6,103.0,85.83,103.0,0.622,W,1
0022101138,1610612753,Orlando,Magic,ORL,magic,240:00,534.0,106.8,616.5,123.3,-82.5,-16.5,0.525,1.75,15.0,0.276,0.681,0.457,11.65,11.7,0.474,0.52,1.0,0.966,20.6,103.0,85.83,103.0,0.378,L,0
0022101145,1610612744,Golden State,Warriors,GSW,warriors,240:00,490.5,98.1,509.5,101.9,-19.0,-3.8,0.743,1.24,18.1,0.255,0.696,0.486,20.0,20.0,0.5,0.548,1.0,0.983,21.0,105.0,87.5,105.0,0.498,L,0
0022101145,1610612756,Phoenix,Suns,PHX,suns,240:00,509.5,101.9,490.5,98.1,19.0,3.8,0.526,1.43,14.1,0.304,0.745,0.514,13.333,13.3,0.451,0.509,1.0,0.984,21.0,105.0,87.5,105.0,0.502,W,1
0022101146,1610612757,Portland,Trail Blazers,POR,blazers,240:00,540.4,108.1,590.9,118.2,-50.5,-10.1,0.769,1.36,20.7,0.37,0.707,0.529,22.222,22.2,0.541,0.576,1.0,0.974,19.8,99.0,82.5,99.0,0.407,L,0
0022101146,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,590.9,118.2,540.4,108.1,50.5,10.1,0.65,1.86,19.0,0.293,0.63,0.471,14.141,14.1,0.551,0.615,1.0,0.982,19.8,99.0,82.5,99.0,0.593,W,1
0022101137,1610612754,Indiana,Pacers,IND,pacers,240:00,614.6,122.9,651.0,130.2,-36.5,-7.3,0.659,3.63,19.9,0.375,0.633,0.465,8.333,8.3,0.515,0.551,1.0,0.983,19.2,96.0,80.0,96.0,0.43,L,0
0022101137,1610612743,Denver,Nuggets,DEN,nuggets,240:00,651.0,130.2,614.6,122.9,36.5,7.3,0.66,1.65,23.6,0.367,0.625,0.535,20.833,20.8,0.7,0.725,1.0,0.981,19.2,96.0,80.0,96.0,0.57,W,1
0022101143,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,556.6,111.3,635.5,127.1,-78.9,-15.8,0.756,1.72,20.9,0.22,0.795,0.489,16.981,17.0,0.569,0.597,1.0,0.991,21.3,106.5,88.75,106.0,0.424,L,0
0022101143,1610612737,Atlanta,Hawks,ATL,hawks,240:00,635.5,127.1,556.6,111.3,78.9,15.8,0.571,2.15,19.7,0.205,0.78,0.511,12.15,12.1,0.637,0.675,1.0,0.982,21.3,106.5,88.75,107.0,0.576,W,1
0022101140,1610612752,New York,Knicks,NYK,knicks,240:00,570.0,114.0,631.3,126.3,-61.3,-12.3,0.575,1.64,16.9,0.277,0.762,0.506,14.0,14.0,0.565,0.591,1.0,0.956,19.9,99.5,82.92,100.0,0.42,L,0
0022101140,1610612766,Charlotte,Hornets,CHA,hornets,240:00,631.3,126.3,570.0,114.0,61.3,12.3,0.796,3.25,26.5,0.238,0.723,0.494,12.121,12.1,0.611,0.641,1.0,0.991,19.9,99.5,82.92,99.0,0.58,W,1
0022101141,1610612761,Toronto,Raptors,TOR,raptors,240:00,589.6,117.9,481.1,96.2,108.5,21.7,0.667,1.68,20.8,0.314,0.649,0.491,17.925,17.9,0.594,0.609,1.0,0.967,21.2,106.0,88.33,106.0,0.588,W,1
0022101141,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,481.1,96.2,589.6,117.9,-108.5,-21.7,0.703,1.18,17.1,0.351,0.686,0.509,20.755,20.8,0.462,0.499,1.0,0.976,21.2,106.0,88.33,106.0,0.412,L,0
0022101142,1610612745,Houston,Rockets,HOU,rockets,240:00,561.9,112.4,581.7,116.3,-19.8,-4.0,0.535,1.28,15.9,0.357,0.727,0.541,17.143,17.1,0.527,0.562,1.0,0.992,20.9,104.5,87.08,105.0,0.461,L,0
0022101142,1610612758,Sacramento,Kings,SAC,kings,240:00,581.7,116.3,561.9,112.4,19.8,4.0,0.477,2.33,15.1,0.273,0.643,0.459,8.654,8.7,0.5,0.546,1.0,1.0,20.9,104.5,87.08,104.0,0.539,W,1
0022101136,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,589.5,117.9,631.6,126.3,-42.1,-8.4,0.571,1.6,18.0,0.341,0.721,0.529,15.789,15.8,0.572,0.604,1.0,0.972,19.0,95.0,79.17,95.0,0.469,L,0
0022101136,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,631.6,126.3,589.5,117.9,42.1,8.4,0.609,2.33,20.9,0.279,0.659,0.471,12.632,12.6,0.614,0.634,1.0,0.981,19.0,95.0,79.17,95.0,0.531,W,1
0022101144,1610612759,San Antonio,Spurs,SAS,spurs,240:00,578.1,115.6,589.5,117.9,-11.3,-2.3,0.619,1.73,19.8,0.256,0.688,0.484,15.625,15.6,0.59,0.616,1.0,0.981,19.1,95.5,79.58,96.0,0.508,L,0
0022101144,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,589.5,117.9,578.1,115.6,11.3,2.3,0.591,1.86,19.1,0.313,0.744,0.516,14.737,14.7,0.571,0.584,1.0,0.973,19.1,95.5,79.58,95.0,0.492,W,1
0022101133,1610612751,Brooklyn,Nets,BKN,nets,240:00,631.1,126.2,602.9,120.6,28.1,5.6,0.571,1.26,17.5,0.286,0.692,0.529,18.447,18.4,0.651,0.715,1.0,0.973,20.5,102.5,85.42,103.0,0.554,W,1
0022101133,1610612765,Detroit,Pistons,DET,pistons,240:00,602.9,120.6,631.1,126.2,-28.1,-5.6,0.583,2.0,19.2,0.308,0.714,0.471,13.725,13.7,0.566,0.587,1.0,0.983,20.5,102.5,85.42,102.0,0.446,L,0
0022101134,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,673.7,134.7,572.9,114.6,100.8,20.2,0.6,3.38,20.3,0.244,0.712,0.495,8.421,8.4,0.632,0.659,1.0,0.981,19.1,95.5,79.58,95.0,0.581,W,1
0022101134,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,572.9,114.6,673.7,134.7,-100.8,-20.2,0.5,2.22,15.4,0.288,0.756,0.505,9.375,9.4,0.517,0.557,1.0,0.982,19.1,95.5,79.58,96.0,0.419,L,0
0022101131,1610612755,Philadelphia,76ers,PHI,sixers,240:00,591.8,118.4,608.2,121.6,-16.4,-3.3,0.651,3.11,20.6,0.204,0.755,0.48,9.184,9.2,0.573,0.598,1.0,0.963,19.5,97.5,81.25,98.0,0.492,L,0
0022101131,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,608.2,121.6,591.8,118.4,16.4,3.3,0.591,2.36,19.3,0.245,0.796,0.52,11.34,11.3,0.58,0.601,1.0,0.982,19.5,97.5,81.25,97.0,0.508,W,1
0022101132,1610612764,Washington,Wizards,WAS,wizards,240:00,505.4,101.1,581.5,116.3,-76.1,-15.2,0.658,1.79,19.4,0.25,0.767,0.506,15.054,15.1,0.519,0.543,1.0,0.971,18.5,92.5,77.08,93.0,0.442,L,0
0022101132,1610612741,Chicago,Bulls,CHI,bulls,240:00,581.5,116.3,505.4,101.1,76.1,15.2,0.605,2.89,20.3,0.233,0.75,0.494,9.783,9.8,0.541,0.576,1.0,0.98,18.5,92.5,77.08,92.0,0.558,W,1
0022101135,1610612746,LA,Clippers,LAC,clippers,240:00,636.8,127.4,605.3,121.1,31.6,6.3,0.512,1.91,16.3,0.302,0.683,0.488,11.579,11.6,0.584,0.635,1.0,0.954,19.0,95.0,79.17,95.0,0.519,W,1
0022101135,1610612762,Utah,Jazz,UTA,jazz,240:00,605.3,121.1,636.8,127.4,-31.6,-6.3,0.535,1.53,17.6,0.317,0.698,0.512,15.789,15.8,0.628,0.634,1.0,0.963,19.0,95.0,79.17,95.0,0.481,L,0
0022101126,1610612752,New York,Knicks,NYK,knicks,240:00,567.7,113.5,541.7,108.3,26.0,5.2,0.5,3.17,14.6,0.263,0.745,0.481,6.25,6.3,0.494,0.522,1.0,0.982,19.2,96.0,80.0,96.0,0.485,W,1
0022101126,1610612741,Chicago,Bulls,CHI,bulls,240:00,541.7,108.3,567.7,113.5,-26.0,-5.2,0.471,1.14,12.9,0.255,0.737,0.519,14.583,14.6,0.468,0.556,1.0,0.963,19.2,96.0,80.0,96.0,0.515,L,0
0022101125,1610612748,Miami,Heat,MIA,heat,240:00,640.6,128.1,520.8,104.2,119.8,24.0,0.612,1.88,21.4,0.341,0.83,0.602,16.667,16.7,0.65,0.664,1.0,0.973,19.2,96.0,80.0,96.0,0.602,W,1
0022101125,1610612758,Sacramento,Kings,SAC,kings,240:00,520.8,104.2,640.6,128.1,-119.8,-24.0,0.568,1.5,16.8,0.17,0.659,0.398,14.583,14.6,0.531,0.562,1.0,0.981,19.2,96.0,80.0,96.0,0.398,L,0
0022101130,1610612757,Portland,Trail Blazers,POR,blazers,265:00,600.9,120.2,632.1,126.4,-31.2,-6.2,0.549,2.55,17.6,0.381,0.66,0.5,10.092,10.1,0.545,0.556,1.0,0.977,19.47,97.36,81.13,109.0,0.468,L,0
0022101130,1610612760,Oklahoma City,Thunder,OKC,thunder,265:00,632.1,126.4,600.9,120.2,31.2,6.2,0.667,1.52,20.8,0.34,0.619,0.5,19.811,19.8,0.644,0.663,1.0,0.992,19.47,97.36,81.13,106.0,0.532,W,1
0022101127,1610612761,Toronto,Raptors,TOR,raptors,265:00,542.5,108.5,533.3,106.7,9.1,1.8,0.348,1.6,11.3,0.317,0.661,0.484,9.434,9.4,0.481,0.505,1.0,0.976,19.11,95.55,79.62,106.0,0.47,W,1
